Glottocode
sara1340
sana1297
gull1243
krio1253
ghan1244
nige1257
fern1234
chin1253
sing1272
tokp1240
bisl1239
krio1252
nege1244
afri1274
ango1258
prin1242
pale1260
tayo1238
sang1328
kjac1234
pidg1251
pidg1249
guri1249
medi1245
mich1243
papi1253
ngat1248
rive1257
cakc1235
ngul1236
fada1250
jama1262
reun1238
guad1242
naga1394
tagd1238
gull1241
hawa1247
anti1245
sain1246
toba1282
trin1276
berb1259
creo1235
cafu1238
gren1247
kari1301
tetu1246
baba1273
kabu1256
baja1265
ndyu1242
guia1246
hait1244
libe1240
virg1240
vinc1243
medn1235
kwin1243
chav1241
loui1240
baba1267
eeee1240
wutu1241
turk1310
sril1245
mbug1240
beli1260
mala1482
mala1533
bali1279
baha1260
beta1252
kupa1239
petj1238
band1353
lara1260
mala1481
nort2828
nica1252
afro1254
saot1239
mori1278
sese1246
piji1239
dama1278
ambo1250
papu1250
javi1237
pera1256
chin1272
loma1235
kitu1246
came1254
shel1236
yeni1236
cutc1238
trav1236
tavr1235
sran1240
sanm1305
uppe1455
tsot1242
oorl1238
suda1237
nubi1253
angl1239
kitu1245
roma1240
hiri1237
unse1236
roma1241
anda1280
nefa1235
korl1238
torr1261
broo1238
bari1241
call1235
camt1236
coco1260
pidg1246
fana1235
giba1240
ihab1241
maca1262
ndyu1241
onin1237
pitc1234
ling1242
trav1237
skep1238
sett1235
tayb1240
tern1248
timo1258
nkoa1234
limo1249
mala1544
ling1263
eski1266
araf1245
duvl1238
haun1238
hiri1235
hiri1236
hora1238
icel1248
imun1234
ioit1234
kwom1264
mari1446
mobi1236
pidg1259
tola1236
yima1235
yima1244
yima1245
yima1246
afgh1240
amap1241
amer1255
arab1397
assa1271
bant1297
basq1252
basq1268
baux1234
beli1261
bell1264
boba1251
boni1239
borg1236
brok1250
brok1252
buru1323
butl1235
cakc1245
cari1284
casp1241
cent2304
chin1492
choc1282
delw1234
dutc1258
duvl1243
earl1245
east2759
enga1255
engl1287
eski1267
ewon1240
ewon1242
fiji1244
fran1267
fren1279
gali1266
germ1288
germ1289
gren1248
guin1259
guri1251
guya1252
haus1258
hawa1248
hind1272
hott1234
icel1249
ihab1242
isle1246
japa1257
jarg1234
joek1234
jord1239
kaur1273
kiau1234
kika1240
less1242
ligh1234
luci1234
luso1234
maca1264
maga1271
mala1547
mana1302
meke1244
miao1234
mini1258
misk1243
mixe1287
motu1248
newc1245
news1234
ngar1294
nige1258
onin1246
otta1243
paci1280
pana1311
papu1254
pers1247
pidg1237
pidg1247
pidg1248
pidg1252
pidg1254
pidg1255
pidg1256
pidg1257
pidg1258
port1294
quec1390
quee1234
roma1333
roma1335
roqu1234
russ1267
russ1268
russ1269
samo1307
sanq1234
sepi1259
serb1269
slav1256
solo1261
sout3227
span1267
span1268
suri1275
swah1255
swed1256
tahi1243
taim1252
tobi1240
trio1239
tuka1250
turk1244
vinc1244
warl1257
west2851
west2854
west2864
ww2p1234
yila1234
yima1247
yoko1234
zulu1250
aust1242
bafa1250
basi1249
biss1249
brit1243
cach1242
chak1245
chan1289
chil1261
cika1238
gali1270
guad1243
kari1318
mari1444
mart1259
pali1280
papu1235
plat1258
stba1239
